,Learning_method,Role,Yearly_pay,Visualisation_tool,Charts,Organization_area,Undergraduate_major,Gender,Country,tool_Excel,tool_Tableau,tool_R,tool_ggplot2,tool_D3,tool_Python,tool_Pen&Paper,tool_Illustrator,tool_PowerBI,tool_Plotly,tool_Mapbox,tool_QGIS,tool_Leaflet,tool_ArcGIS,tool_Matplotlib,tool_React,chart_BarChart,chart_LineChart,chart_Scatterplot,chart_PieChart,chart_Hexbin/Heatmap,chart_Infographics,chart_Treemap,chart_FlowChart),chart_FlowDiagram(Sankey,chart_DAGRE,chart_ChoroplethMap,chart_NetworkDiagram,chart_PictorialVisualization,chart_Force-DirectedGraph,chart_RasterMap
1103,Mostly Self-Taught,Designer,$40k - $60k,"D3,Excel,Highcharts,Illustrator,Leaflet,Mapbox,Python,QGIS,Tableau,WebGL,Canvas","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Infographics,PictorialVisualization,Treemap,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart),Force-DirectedGraph",Journalism,Human Sciences,Woman,United Kingdom,yes,yes,no,no,yes,yes,no,yes,no,no,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no
1104,Mostly Self-Taught,Scientist,$40k - $60k,"Excel,ggplot2,Leaflet,Plotly,R","LineChart,BarChart,Scatterplot,Boxplots",Public sector,Biology,Woman,USA,yes,no,yes,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
1105,Equal Parts School and Self-Taught,Analyst,$60k - $80k,"ArcGIS,Excel,QGIS,SAS","LineChart,BarChart,PieChart,Scatterplot,Infographics,ChoroplethMap,RasterMap",Public sector,Biological Sciences (Microbiology),Woman,USA,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,yes,yes,yes,yes,no,yes,no,no,no,no,yes,no,no,no,yes
1106,Mostly Self-Taught,Analyst,$40k - $60k,"Excel,PowerBI","LineChart,BarChart,Scatterplot,Treemap",Public sector,Mathematics and Statistics,Woman,England,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no
1109,Mostly Self-Taught,Academic,$20k - $40k,"Excel,Illustrator,UnrealEngine","PieChart,Scatterplot,Infographics,3DCharts,VR/ARCharts",Private sector,Industrial Design and Product Development Engineering,Woman,United Kingdom,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no
1111,Mostly Self-Taught,Student,< $20k,"Cytoscape,Excel,ggplot2,Plotly,Python,R,Inkscape","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Infographics,Dendrogram,NetworkDiagram",Academic,Genomic Sciences ,Woman,Mexico,yes,no,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,yes,no,no,no
1112,Equal Parts School and Self-Taught,Scientist,$40k - $60k,"Plotly,Python,MATLAB","LineChart,BarChart,Scatterplot,Infographics,PictorialVisualization,RasterMap",Academic,Chemistry,Woman,USA,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,yes,no,yes
1113,Mostly Self-Taught,Scientist,$40k - $60k,"Excel,ggplot2,R,Pen&Paper,SASVisualAnalytics","BarChart,Scatterplot,FlowDiagram(Sankey,DAGRE,FlowChart),3DCharts",Academic,Biology,Woman,USA,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no
1114,Mostly Self-Taught,Academic,$80k - $100k,"Excel,ggplot2,Illustrator,Leaflet,QGIS,R","LineChart,BarChart,Scatterplot,NetworkDiagram",Academic,Marine biology,Woman,Australia,yes,no,yes,yes,no,no,no,yes,no,no,no,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no
1115,Mostly Self-Taught,Scientist,< $20k,"ggplot2,Illustrator,R,Tableau","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,NetworkDiagram",Academic,Medical biotechnology ,Woman,Spain,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no
1117,Mostly Self-Taught,Analyst,$60k - $80k,"D3,ggplot2,Highcharts,Leaflet,Plotly,R","LineChart,BarChart,Scatterplot,Treemap,ChoroplethMap,3DCharts",Private sector,Mathematics,Woman,USA,no,no,yes,yes,yes,no,no,no,no,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,no,no,yes,no,no,no,no
