,Learning_method,Role,Yearly_pay,Visualisation_tool,Charts,Organization_area,Undergraduate_major,Gender,Country,tool_Excel,tool_Tableau,tool_R,tool_ggplot2,tool_D3,tool_Python,tool_Pen&Paper,tool_Illustrator,tool_PowerBI,tool_Plotly,tool_Mapbox,tool_QGIS,tool_Leaflet,tool_ArcGIS,tool_Matplotlib,tool_React,chart_BarChart,chart_LineChart,chart_Scatterplot,chart_PieChart,chart_Hexbin/Heatmap,chart_Infographics,chart_Treemap,chart_FlowChart),chart_FlowDiagram(Sankey,chart_DAGRE,chart_ChoroplethMap,chart_NetworkDiagram,chart_PictorialVisualization,chart_Force-DirectedGraph,chart_RasterMap
333,Mostly Self-Taught,Developer,$80k - $100k,"D3,Excel,Leaflet,React,Vega","LineChart,BarChart,Scatterplot,Infographics,Treemap,ChoroplethMap,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart),Force-DirectedGraph",Academic,Geology,Man,USA,yes,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,yes,yes
334,Mostly Self-Taught,Other,$20k - $40k,"D3,Excel,Python,R,Tableau,Pen&Paper","BarChart,Infographics,NetworkDiagram,FlowDiagram(Sankey,DAGRE,FlowChart)",Journalism,Journalism,Man,France,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,yes,yes,yes,no,yes,no,no,no
335,Equal Parts School and Self-Taught,Analyst,$60k - $80k,"Excel,Tableau,Pen&Paper","LineChart,BarChart,Hexbin/Heatmap,Treemap",Academic,Art,Man,USA,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no
336,Mostly Self-Taught,Analyst,< $20k,"Excel,PowerBI,Tableau","LineChart,BarChart,PieChart,Scatterplot,Infographics,PictorialVisualization,Treemap,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Marketing,Man,Hungary,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,no
337,Mostly Self-Taught,Analyst,$60k - $80k,"D3,Excel,Plotly,Python,Vega,Vue","LineChart,ChoroplethMap",Private sector,Computer Science,Man,Australia,yes,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no
338,Mostly Self-Taught,Analyst,< $20k,"PowerBI,Python","LineChart,BarChart,PieChart",Private sector,Engineering,Man,Uganda,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no
339,Mostly Self-Taught,Student,< $20k,Python,Scatterplot,Academic,Electrical Engineering and Physics,Man,USA,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
340,Equal Parts School and Self-Taught,Designer,$20k - $40k,"Excel,Illustrator,Tableau","LineChart,BarChart,Infographics,PictorialVisualization,Treemap,NetworkDiagram",Medical Education,Information Design ,Man,Canada,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,yes,no,no,no,no,yes,yes,no,no
342,Mostly Self-Taught,Analyst,< $20k,"Excel,ggplot2,R","LineChart,BarChart,Scatterplot",Private sector,economics,Man,Dominican Republic,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
343,Mostly Self-Taught,Leadership,$80k - $100k,"Excel,Tableau","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Infographics,Treemap",Public sector,Finance / Real Estate,Man,USA,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no
345,Mostly Self-Taught,Leadership,$100k - $120k,"Excel,Illustrator,QGIS","LineChart,BarChart,PieChart,Scatterplot,ChoroplethMap,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Public sector,Engineering ,Man,USA,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,no,no,yes
347,Mostly Self-Taught,Developer,$80k - $100k,"D3,ggplot2,Illustrator,Leaflet,Mapbox,Python,R,WebGL","LineChart,BarChart,Scatterplot,3DCharts,Force-DirectedGraph",Public sector,Computer Science,Man,USA,no,no,yes,yes,yes,yes,no,yes,no,no,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no
348,Mostly Self-Taught,Developer,$140k - $160k,"Excel,PowerBI,Tableau","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Treemap",Healthcare,Biochemistry,Man,USA,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no
349,Equal Parts School and Self-Taught,Engineer,$20k - $40k,"ArcGIS,Excel,Plotly,PowerBI,Python,QGIS","LineChart,BarChart,NetworkDiagram,Ganttchart",Private sector,Architecture ,Man,Mexico,yes,no,no,no,no,yes,no,no,yes,yes,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no
351,Mostly Self-Taught,Scientist,$120k - $140k,"ggplot2,PowerBI,R,Tableau,Pen&Paper,ggvis","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,Treemap,FlowDiagram(Sankey,DAGRE,FlowChart),3DCharts",Private sector,English literature focusing on medieval to British Renaissance literature,Man,USA,no,yes,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no
352,Mostly Self-Taught,Academic,$60k - $80k,"ArcGIS,Excel,QGIS,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,Infographics",Academic,Econ/phil,Man,Ireland,yes,no,no,no,no,no,yes,no,no,no,no,yes,no,yes,no,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no
353,Mostly Self-Taught,Academic,$60k - $80k,"Excel,Tableau","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Treemap,NetworkDiagram,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Academic,Economics,Man,United Kingdom,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no
355,Mostly Self-Taught,Scientist,$40k - $60k,"Python,Matplotlib","LineChart,BarChart,Scatterplot",Academic,chemistry,Man,France,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
357,Mostly Self-Taught,Analyst,$80k - $100k,Tableau,"LineChart,BarChart,Treemap",Private sector,Microbiology,Man,USA,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no
358,Mostly Self-Taught,Analyst,$80k - $100k,"ArcGIS,kepler.gl,PowerBI,Python,Tableau","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics",Public sector,Political Science,Man,USA,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no
359,Equal Parts School and Self-Taught,Leadership,$120k - $140k,"Excel,ggplot2,Plotly,Python,Tableau,Matplotlib","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Infographics,PictorialVisualization,Treemap,NetworkDiagram,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Economics,Man,USA,yes,yes,no,yes,no,yes,no,no,no,yes,no,no,no,no,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no
360,Mostly Self-Taught,Analyst,$80k - $100k,"Excel,ggplot2,Plotly,PowerBI,R,Tableau","LineChart,BarChart,PieChart,Scatterplot",Private sector,Art & Visual Communication,Man,USA,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no
361,Mostly Self-Taught,Leadership,$120k - $140k,"D3,ggplot2,Gephi,Mapbox,Plotly,Python,R,Tableau,WebGL,Pen&Paper,Matplotlib","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Force-DirectedGraph",Private sector,Mathematics,Man,USA,no,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,no
362,Mostly Self-Taught,Leadership,$100k - $120k,"ArcGIS,Excel,Microstrategy,PowerBI,Python,R,Tableau","LineChart,BarChart,Scatterplot,Infographics",Private sector,Science,Man,USA,yes,yes,yes,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no
363,Mostly Self-Taught,Leadership,$140k - $160k,"D3,Angular,Mapbox,React,Tableau","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,Treemap,Dendrogram,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Business,Man,USA,no,yes,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no
364,Mostly Self-Taught,Leadership,$60k - $80k,"Excel,PowerBI,Tableau,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,Infographics",Academic,Business,Man,Canada,yes,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no
365,Mostly Self-Taught,Leadership,$180k - $200k,"Excel,Highcharts,Illustrator,Python,Tableau,Pen&Paper","LineChart,BarChart,Infographics,PictorialVisualization,Treemap,FlowDiagram(Sankey,DAGRE,FlowChart),SwarmChart",Journalism,Economics,Man,India,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,yes,no,no
366,Mostly Self-Taught,Analyst,$80k - $100k,"Highcharts,Leaflet,Plotly,PowerBI,Python,Vega","LineChart,BarChart,PieChart,Scatterplot,Treemap,NetworkDiagram,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Aeronautic engineering,Man,France,no,no,no,no,no,yes,no,no,yes,yes,no,no,yes,no,no,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no
367,Mostly Self-Taught,Analyst,$40k - $60k,"Excel,GoogleDataStudio","LineChart,BarChart,PieChart,Scatterplot",Private sector,International Relations,Man,United Kingdom,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no
368,Mostly Self-Taught,Analyst,$40k - $60k,"D3,Excel,ggplot2,Illustrator,Mapbox,Plotly,R,Tableau","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,3DCharts,SwarmChart",Academic,English and Journalism,Man,USA,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,no,no,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no
369,Mostly Self-Taught,Analyst,$60k - $80k,"D3,Excel,Illustrator,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,Force-DirectedGraph",Private sector,I'm not from the US... I don't get the question ,Man,Germany,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,no
370,Mostly Self-Taught,Analyst,$40k - $60k,ZingChart&ZingGrid,"LineChart,BarChart,PieChart,Treemap,FlowDiagram(Sankey,DAGRE,FlowChart),3DCharts",Private sector,Marketing,Man,USA,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,yes,yes,yes,yes,no,no,no,no,no
371,Mostly Self-Taught,Student,< $20k,"ggplot2,Plotly,R,Inkscape","LineChart,BarChart,Scatterplot",Academic,Pharmacy,Man,Brazil,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
372,Mostly Self-Taught,Analyst,$20k - $40k,"Excel,PowerBI,Pen&Paper","LineChart,BarChart,PieChart",Private sector,Sound Engineering,Man,United Kingdom,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no
374,Mostly Self-Taught,Analyst,$20k - $40k,"Excel,Leaflet,Mapbox,Plotly,Python,Matplotlib","LineChart,BarChart,Scatterplot,Infographics,RasterMap",Private sector,Meteorology,Man,Brazil,yes,no,no,no,no,yes,no,no,no,yes,yes,no,yes,no,yes,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,yes
375,Mostly Self-Taught,Analyst,$40k - $60k,"Excel,Illustrator,R,Tableau,tabX","LineChart,BarChart,PieChart,Infographics",Public sector,Econmics/ Marketing,Man,Scotland,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no
376,Mostly Self-Taught,Developer,$60k - $80k,"ArcGIS,D3,Excel,ggplot2,Highcharts,Illustrator,Mapbox,Python,QGIS,R,Vue,WebGL,Pen&Paper,P5/Processing","LineChart,BarChart,PieChart,Scatterplot,Infographics,Treemap,NetworkDiagram,ChoroplethMap,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart),SwarmChart,Force-DirectedGraph",Journalism,History,Man,Hong Kong,yes,no,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
377,Mostly Self-Taught,Leadership,$200k+,"Excel,Mapbox,Tableau,WebComponents","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,PictorialVisualization,NetworkDiagram,ChoroplethMap,SwarmChart",Public sector,Graphic Arts & Industrial Technology,Man,USA,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no
378,Equal Parts School and Self-Taught,Scientist,< $20k,"Gephi,Illustrator,kepler.gl,Python,QGIS","LineChart,BarChart,Scatterplot,Treemap,Dendrogram,NetworkDiagram",Academic,Architecture ,Man,Hungary,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,yes,no,no,no
379,Mostly Self-Taught,Developer,$120k - $140k,"D3,Excel,Leaflet,QGIS,Vue,WebComponents,WebGL,Canvas","LineChart,BarChart,Scatterplot,PictorialVisualization",Journalism,Communication,Man,USA,yes,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no
380,Mostly Self-Taught,Designer,$60k - $80k,"Excel,Illustrator,WebComponents","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,PictorialVisualization,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart),3DCharts",Journalism,Journalism,Man,USA,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,no
382,Mostly Self-Taught,Engineer,$120k - $140k,"Excel,Python,Matplotlib","LineChart,BarChart,PieChart,Scatterplot,Infographics,Treemap,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Mechanical Engineering,Man,USA,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no
384,Mostly Self-Taught,Analyst,$80k - $100k,"Excel,Tableau","LineChart,BarChart,3DCharts",Academic,Information Systems,Man,USA,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
385,Equal Parts School and Self-Taught,Leadership,$180k - $200k,"Excel,ggplot2,R,Tableau,Pen&Paper","LineChart,BarChart,Scatterplot",Private sector,Music Performance,Man,USA,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
386,Mostly Self-Taught,Analyst,$80k - $100k,"D3,Excel,PowerBI,Tableau","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Treemap,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Business Administration,Man,Brazil,yes,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no
387,Mostly Self-Taught,Academic,$40k - $60k,"D3,Python,Pen&Paper,Matplotlib","LineChart,BarChart,Scatterplot,Infographics,FlowDiagram(Sankey,DAGRE,FlowChart)",Academic,Physics,Man,Switzerland,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,yes,no,yes,yes,yes,no,no,no,no,no
388,Equal Parts School and Self-Taught,Academic,$20k - $40k,"D3,ggplot2,Gephi,Leaflet,Mapbox,PowerBI,Python,R,React,Tableau,Vega,Vue,WebComponents","LineChart,BarChart,Scatterplot,RasterMap",Academic,Mathematics,Man,Belgium,no,yes,yes,yes,yes,yes,no,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes
389,Mostly Self-Taught,Scientist,$20k - $40k,"D3,ggplot2,Highcharts,Illustrator,Leaflet,Plotly,R","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Treemap,NetworkDiagram,ChoroplethMap,RasterMap,3DCharts",Academic,Biology,Man,USA,no,no,yes,yes,yes,no,no,yes,no,yes,no,no,yes,no,no,no,yes,yes,yes,no,yes,no,yes,no,no,no,yes,yes,no,no,yes
394,Mostly Self-Taught,Scientist,$20k - $40k,"ggplot2,R","LineChart,Scatterplot,Hexbin/Heatmap,Infographics",Academic,ecology,Man,United Kingdom,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no
396,Mostly Self-Taught,Scientist,$40k - $60k,"Python,Matplotlib",Scatterplot,Academic,Physics,Man,Denmark,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
397,Mostly Self-Taught,Scientist,< $20k,"Python,Matplotlib,Seaborn,aplpy,bokeh","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,3DCharts,Interactivecharts",Academic,Astrophysics,Man,Australia,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no
398,Mostly Self-Taught,Scientist,$20k - $40k,"Python,Pen&Paper,Matplotlib","LineChart,Scatterplot,Hexbin/Heatmap",Academic,Physics,Man,Germany,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no
399,Mostly Self-Taught,Scientist,$40k - $60k,"Python,Pen&Paper,Matplotlib,Mathematica","LineChart,BarChart,Scatterplot",Academic,Physics,Man,Switzerland,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
402,Mostly Self-Taught,Leadership,$180k - $200k,D3,"LineChart,BarChart,Force-DirectedGraph",Private sector,Theater,Man,USA,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no
403,Mostly Self-Taught,Analyst,$60k - $80k,"Excel,ggplot2,Leaflet,Plotly,R","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,PictorialVisualization,ChoroplethMap",Not-for-profit,Economics,Man,Australia,yes,no,yes,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,yes,no,no
404,Mostly Self-Taught,Scientist,$40k - $60k,"Python,Matplotlib,Mayavi","LineChart,BarChart,Scatterplot",Academic,Computer science ,Man,Finland ,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
405,Mostly Self-Taught,Scientist,$40k - $60k,"Cytoscape,Python,Matplotlib","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,PictorialVisualization,NetworkDiagram,Force-DirectedGraph",Academic,Physics,Man,USA,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no
406,Mostly Self-Taught,Scientist,$20k - $40k,"D3,Illustrator,R,Pen&Paper","LineChart,BarChart,Scatterplot,PictorialVisualization,Dendrogram,NetworkDiagram,Force-DirectedGraph",Academic,Biotechnology,Man,Belgium,no,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no
407,Mostly Self-Taught,Scientist,$60k - $80k,"Excel,ggplot2","LineChart,BarChart,Scatterplot,Lollipopplot",Academic,Social Sciences,Man,Germany,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
409,Equal Parts School and Self-Taught,Scientist,$20k - $40k,"Python,Pen&Paper,Matplotlib,VTK","LineChart,Hexbin/Heatmap",Academic,Physics,Man,Finland,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no
410,Mostly Self-Taught,Other,$180k - $200k,"Python,R,Tableau,Pen&Paper","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Infographics,Treemap,ChoroplethMap",Private sector,Psychology,Man,United Kingdom,no,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no
411,Mostly Self-Taught,Leadership,$40k - $60k,"Excel,Illustrator","LineChart,BarChart,PieChart,Infographics,PictorialVisualization,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Marketing,Man,India,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,yes,no,yes,yes,yes,no,no,yes,no,no
412,Mostly Self-Taught,Leadership,$40k - $60k,"Excel,Illustrator,PowerBI,Tableau,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Marketing ,Man,India,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no
413,Mostly Self-Taught,Engineer,$200k+,"D3,Julia","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,Treemap,Dendrogram,NetworkDiagram,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart),SwarmChart,Force-DirectedGraph",Private sector,Physics,Man,USA,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no
414,Mostly Self-Taught,Analyst,$80k - $100k,"Excel,Tableau","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,RadialBarChart",Private sector,"Finance, Statistics",Man,India,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no
415,Mostly Self-Taught,Leadership,$180k - $200k,"PowerBI,Qlik","LineChart,BarChart,Hexbin/Heatmap",Private sector,Philosophy,Man,USA,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no
417,Mostly From School (or other formal courses),Designer,$200k+,"D3,Excel,React,Tableau,Vega,WebComponents,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap",Private sector,Philosophy,Man,USA,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no
418,Equal Parts School and Self-Taught,Designer,$40k - $60k,"D3,Excel,Illustrator,Mapbox,QGIS,Tableau,Vega,Pen&Paper,P5/Processing","LineChart,BarChart,Scatterplot,NetworkDiagram,FlowDiagram(Sankey,DAGRE,FlowChart),Force-DirectedGraph",Private sector,Computer Science Engineering,Man,India,yes,yes,no,no,yes,no,yes,yes,no,no,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,yes,yes,yes,no,yes,no,yes,no
419,Mostly Self-Taught,Engineer,$200k+,"Excel,Plotly,Python,Matplotlib","LineChart,BarChart,Scatterplot,SwarmChart",Private sector,Neuroscience,Man,USA,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
420,Mostly Self-Taught,Designer,< $20k,"D3,Excel,Illustrator,PowerBI,Qlik,Tableau,Pen&Paper,Sketch","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Treemap,NetworkDiagram,ChoroplethMap,3DCharts",Private sector,Filmmaking,Man,India,yes,yes,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,no,no,no
422,Equal Parts School and Self-Taught,Engineer,$100k - $120k,"D3,Excel,ggplot2,Illustrator,Python,R,React,Tableau,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Treemap,NetworkDiagram,FlowDiagram(Sankey,DAGRE,FlowChart),Force-DirectedGraph",Private sector,Journalism,Man,USA,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,yes,no
424,Mostly Self-Taught,Leadership,$120k - $140k,"D3,Excel,Python,React,Pen&Paper","LineChart,BarChart,PieChart,FlowDiagram(Sankey,DAGRE,FlowChart)",Publicly Traded Corporation,Statistics,Man,USA,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no
425,Mostly Self-Taught,Academic,$20k - $40k,"D3,Gephi,Illustrator,kepler.gl,Processing,Pen&Paper","PieChart,Infographics,FlowDiagram(Sankey,DAGRE,FlowChart)",Public sector,Graphics Design,Man,Ecuador,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,yes,yes,yes,no,no,no,no,no
427,Mostly Self-Taught,Academic,$80k - $100k,"ggplot2,Plotly,Python,R,Vega,P5/Processing,Matplotlib,Altair,plotnine","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Infographics,Dendrogram,ChoroplethMap",Academic,Engineering,Man,Canada,no,no,yes,yes,no,yes,no,no,no,yes,no,no,no,no,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no
430,Mostly Self-Taught,Academic,$60k - $80k,"PowerBI,Tableau","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Treemap,3DCharts",Academic,Business Administration,Man,India,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no
